Team_Key,Team_Name,Points,Week,Year,Opponent_Team_Key,Opponent_Team_Name,Opponent_Points
399.l.643103.t.10,b'\xf0\x9f\x92\x84 SBTF\xe2\x80\x99ers \xf0\x9f\x92\x84',80.42,4,2020,399.l.643103.t.3,"b""Champ's Chosen Ones""",105.1
399.l.643103.t.7,b'Herndiggler',84.44,4,2020,399.l.643103.t.8,b'Sharknadoes',114.6
399.l.643103.t.8,b'Sharknadoes',114.6,4,2020,399.l.643103.t.7,b'Herndiggler',84.44
399.l.643103.t.1,b'\xf0\x9f\x8c\x8a daniel  \xf0\x9f\x8f\x84\xf0\x9f\x8f\xbd',101.18,5,2020,399.l.643103.t.7,b'Herndiggler',128.1
399.l.643103.t.7,b'Herndiggler',128.1,5,2020,399.l.643103.t.1,b'\xf0\x9f\x8c\x8a daniel  \xf0\x9f\x8f\x84\xf0\x9f\x8f\xbd',101.18
399.l.643103.t.2,b'Mixon It Up',94.92,5,2020,399.l.643103.t.5,b'BROTHER SHAMUS',128.3
399.l.643103.t.5,b'BROTHER SHAMUS',128.3,5,2020,399.l.643103.t.2,b'Mixon It Up',94.92
399.l.643103.t.3,"b""Champ's Chosen Ones""",114.24,5,2020,399.l.643103.t.4,b'Doc Y',107.94
399.l.643103.t.4,b'Doc Y',107.94,5,2020,399.l.643103.t.3,"b""Champ's Chosen Ones""",114.24
399.l.643103.t.8,b'Sharknadoes',145.06,5,2020,399.l.643103.t.10,b'\xf0\x9f\x92\x84 SBTF\xe2\x80\x99ers \xf0\x9f\x92\x84',92
399.l.643103.t.10,b'\xf0\x9f\x92\x84 SBTF\xe2\x80\x99ers \xf0\x9f\x92\x84',92,5,2020,399.l.643103.t.8,b'Sharknadoes',145.06
399.l.643103.t.1,b'\xf0\x9f\x8c\x8a daniel  \xf0\x9f\x8f\x84\xf0\x9f\x8f\xbd',140.36,6,2020,399.l.643103.t.8,b'Sharknadoes',111.3
399.l.643103.t.8,b'Sharknadoes',111.3,6,2020,399.l.643103.t.1,b'\xf0\x9f\x8c\x8a daniel  \xf0\x9f\x8f\x84\xf0\x9f\x8f\xbd',140.36
399.l.643103.t.2,b'Mixon It Up',72,6,2020,399.l.643103.t.7,b'Herndiggler',145.1
399.l.643103.t.7,b'Herndiggler',145.1,6,2020,399.l.643103.t.2,b'Mixon It Up',72
399.l.643103.t.3,"b""Champ's Chosen Ones""",98.18,6,2020,399.l.643103.t.5,b'BROTHER SHAMUS',87.44
399.l.643103.t.5,b'BROTHER SHAMUS',87.44,6,2020,399.l.643103.t.3,"b""Champ's Chosen Ones""",98.18
399.l.643103.t.4,b'Doc Y',92.98,6,2020,399.l.643103.t.10,b'\xf0\x9f\x92\x84 SBTF\xe2\x80\x99ers \xf0\x9f\x92\x84',116.32
399.l.643103.t.10,b'\xf0\x9f\x92\x84 SBTF\xe2\x80\x99ers \xf0\x9f\x92\x84',116.32,6,2020,399.l.643103.t.4,b'Doc Y',92.98
399.l.643103.t.1,b'\xf0\x9f\x8c\x8a daniel  \xf0\x9f\x8f\x84\xf0\x9f\x8f\xbd',127.42,7,2020,399.l.643103.t.10,b'\xf0\x9f\x92\x84 SBTF\xe2\x80\x99ers \xf0\x9f\x92\x84',150.7
399.l.643103.t.10,b'\xf0\x9f\x92\x84 SBTF\xe2\x80\x99ers \xf0\x9f\x92\x84',150.7,7,2020,399.l.643103.t.1,b'\xf0\x9f\x8c\x8a daniel  \xf0\x9f\x8f\x84\xf0\x9f\x8f\xbd',127.42
399.l.643103.t.2,b'Mixon It Up',110.02,7,2020,399.l.643103.t.8,b'Sharknadoes',112.46
399.l.643103.t.8,b'Sharknadoes',112.46,7,2020,399.l.643103.t.2,b'Mixon It Up',110.02
399.l.643103.t.3,"b""Champ's Chosen Ones""",65.12,7,2020,399.l.643103.t.7,b'Herndiggler',132.7
399.l.643103.t.7,b'Herndiggler',132.7,7,2020,399.l.643103.t.3,"b""Champ's Chosen Ones""",65.12
399.l.643103.t.4,b'Doc Y',83.82,7,2020,399.l.643103.t.5,b'BROTHER SHAMUS',109.5
399.l.643103.t.5,b'BROTHER SHAMUS',109.5,7,2020,399.l.643103.t.4,b'Doc Y',83.82
399.l.643103.t.1,b'\xf0\x9f\x8c\x8a daniel  \xf0\x9f\x8f\x84\xf0\x9f\x8f\xbd',108.44,8,2020,399.l.643103.t.2,b'Mixon It Up',106.54
399.l.643103.t.2,b'Mixon It Up',106.54,8,2020,399.l.643103.t.1,b'\xf0\x9f\x8c\x8a daniel  \xf0\x9f\x8f\x84\xf0\x9f\x8f\xbd',108.44
399.l.643103.t.3,"b""Champ's Chosen Ones""",84.62,8,2020,399.l.643103.t.8,b'Sharknadoes',121.42
399.l.643103.t.8,b'Sharknadoes',121.42,8,2020,399.l.643103.t.3,"b""Champ's Chosen Ones""",84.62
399.l.643103.t.4,b'Doc Y',90.12,8,2020,399.l.643103.t.7,b'Herndiggler',127.44
399.l.643103.t.7,b'Herndiggler',127.44,8,2020,399.l.643103.t.4,b'Doc Y',90.12
399.l.643103.t.5,b'BROTHER SHAMUS',127.52,8,2020,399.l.643103.t.10,b'\xf0\x9f\x92\x84 SBTF\xe2\x80\x99ers \xf0\x9f\x92\x84',75.56
399.l.643103.t.10,b'\xf0\x9f\x92\x84 SBTF\xe2\x80\x99ers \xf0\x9f\x92\x84',75.56,8,2020,399.l.643103.t.5,b'BROTHER SHAMUS',127.52
399.l.643103.t.1,b'\xf0\x9f\x8c\x8a daniel  \xf0\x9f\x8f\x84\xf0\x9f\x8f\xbd',102.5,9,2020,399.l.643103.t.3,"b""Champ's Chosen Ones""",97.34
399.l.643103.t.3,"b""Champ's Chosen Ones""",97.34,9,2020,399.l.643103.t.1,b'\xf0\x9f\x8c\x8a daniel  \xf0\x9f\x8f\x84\xf0\x9f\x8f\xbd',102.5
399.l.643103.t.2,b'Mixon It Up',104.7,9,2020,399.l.643103.t.10,b'\xf0\x9f\x92\x84 SBTF\xe2\x80\x99ers \xf0\x9f\x92\x84',92.9
